"filename", "language", "PostCSS", "JavaScript JSX", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\GaleriiLeht\Components\PildidGaleriiTile.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\GaleriiLeht\DesignElements\tagasiIcon activated.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\GaleriiLeht\DesignElements\tagasiIcon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\GaleriiLeht\GaleriiLeht.css", "PostCSS", 45, 0, 0, 0, 0, 0, 9, 54
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\GaleriiLeht\GaleriiLeht.jsx", "JavaScript JSX", 0, 48, 0, 0, 0, 1, 15, 64
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Galerii\Components\GaleriiSyndmusGrid.css", "PostCSS", 54, 0, 0, 0, 0, 1, 20, 75
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Galerii\Components\GaleriiSyndmusGrid.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 1, 10, 37
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Galerii\Components\GaleriiSyndmusTile.css", "PostCSS", 142, 0, 0, 0, 0, 1, 47, 190
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Galerii\Components\GaleriiSyndmusTile.jsx", "JavaScript JSX", 0, 32, 0, 0, 0, 0, 9, 41
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Galerii\Content\galeriiData.json", "JSON", 0, 0, 0, 782, 0, 0, 0, 782
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Galerii\Galerii.css", "PostCSS", 34, 0, 0, 0, 0, 0, 7, 41
